channel,actual_spend,actual_premium,pred_mean,pred_std,wape,bias,coverage_p10_p90
구글,339414101.54675096,4429419681.941363,4248971302.8787656,934421737.7326679,0.040738605058870676,-180448379.06259775,1.0
네이버,131398542.63706881,877321417.0888684,441852057.5712616,97170853.37261774,0.49636239471114596,-435469359.5176068,0.0
메타,310532128.3545931,2490626032.476088,3770978502.2618814,829302914.4839627,0.5140685326062036,1280352469.7857933,0.0
카카오,241734330.42990512,2203401913.551781,762357399.0206897,167655480.5356367,0.6540089239589498,-1441044514.5310915,0.0
쿠팡,68147952.60660665,196240773.52148616,71616677.57978317,15749736.946776126,0.6350570969801954,-124624095.94170299,0.0
토스,68147952.60660665,429362386.45738316,612060774.3263911,134602672.40604314,0.42551092883666436,182698387.86900795,0.0
