channel,actual_spend,actual_share,actual_premium,actual_roi,pred_premium_on_actual,pred_roi_on_actual,sat_ratio_est_actual,opt_spend,opt_share,pred_premium_on_opt,pred_roi_on_opt,sat_ratio_est_opt
구글,339414101.54675096,0.2927560963032304,4429419681.941363,13.050193441450912,4169633516.3448014,12.284797530047452,0.9511665681074086,431601720.74198955,0.37227102334985873,4249052585.59736,9.844846258473176,0.9611923204052382
네이버,131398542.63706881,0.11333566939929658,877321417.0888684,6.6767971659479235,434007347.1510458,3.302984480960355,0.9521037166948307,253033170.9682688,0.218249633796358,435207219.6743271,1.719961133984696,0.974541604539512
메타,310532128.3545931,0.2678444214884878,2490626032.476088,8.02050997322915,3720482524.0621443,11.980990642661515,0.9420612909610713,136816291.23975763,0.11800866007483865,3491637617.1695433,25.520627591423146,0.8775075692776113
카카오,241734330.42990512,0.20850400321209536,2203401913.551781,9.11497307657215,764776159.169411,3.1637052040118503,0.9558318393313219,82636362.91453734,0.07127664675483361,700341025.6624978,8.47497398193567,0.880921786702044
쿠팡,68147952.60660665,0.05877990479844486,196240773.52148616,2.8796283089282637,70368773.59960976,1.0325882276438019,0.9184811428749633,53004892.65588273,0.04571850547220299,69775028.44836922,1.3163884492958267,0.8975772297730605
토스,68147952.60660665,0.05877990479844486,429362386.45738316,6.300444401256427,609482997.0632111,8.943526162576516,0.9225145025622945,202282569.66109535,0.17447553055190798,635951240.3361514,3.143875626069144,0.9724816130843297
